day_of_week,hour_of_day,category,items_count
0,8,trash bags liners,0
0,10,pasta sauce,13
0,17,breakfast bars pastries,0
0,17,coffee,2
0,17,refrigerated pudding desserts,3
0,19,diapers wipes,0
0,11,deodorants,3
0,11,food storage,3
0,13,lunch meat,19
0,9,popcorn jerky,3
0,6,pasta sauce,1
0,23,instant foods,2
0,5,refrigerated,1
0,2,packaged meat,0
0,2,plates bowls cups flatware,0
0,3,trash bags liners,0
0,3,white wines,0
0,8,eye ear care,0
0,8,ice cream ice,9
0,15,frozen dessert,0
0,17,protein meal replacements,1
0,11,meat counter,1
0,11,specialty wines champagnes,0
0,13,fresh herbs,17
0,21,specialty cheeses,0
0,1,air fresheners candles,0
0,1,granola,0
0,23,canned meat seafood,0
0,23,packaged meat,0
0,23,pasta sauce,0
0,22,muscles joints pain relief,0
0,5,candy chocolate,0
0,7,canned meat seafood,2
0,7,packaged vegetables fruits,13
0,20,hair care,0
0,2,ice cream toppings,0
0,3,packaged cheese,0
0,15,packaged produce,11
0,16,canned meals beans,7
0,16,specialty wines champagnes,0
0,10,bread,18
0,10,eggs,19
0,10,soy lactosefree,20
0,19,kitchen supplies,0
0,14,frozen pizza,3
0,9,cold flu allergy,0
0,1,cocoa drink mixes,0
0,23,body lotions soap,0
0,23,milk,4
0,22,shave needs,1
0,7,bakery desserts,0
0,20,frozen dessert,1
0,20,red wines,0
0,2,breakfast bars pastries,0
0,2,dish detergents,0
0,2,fresh herbs,0
0,2,hair care,0
0,2,prepared soups salads,0
0,8,cream,2
0,10,bulk grains rice dried goods,0
0,10,trail mix snack mix,0
0,18,kosher foods,0
0,18,yogurt,20
0,12,buns rolls,5
0,21,refrigerated pudding desserts,2
0,14,bread,14
0,14,frozen produce,16
0,0,cat food care,0
0,0,frozen vegan vegetarian,0
0,0,grains rice dried goods,0
0,1,dry pasta,0
0,6,air fresheners candles,0
0,6,fresh fruits,21
0,3,diapers wipes,0
0,10,cocoa drink mixes,0
0,18,milk,7
0,17,fresh herbs,11
0,19,butter,3
0,21,fresh dips tapenades,2
0,0,cream,0
0,0,spirits,0
0,9,feminine care,0
0,23,grains rice dried goods,0
0,22,cereal,6
0,7,tortillas flat bread,2
0,20,shave needs,0
0,2,cold flu allergy,0
0,3,deodorants,0
0,8,baby bath body care,0
0,16,fresh herbs,13
0,19,canned fruit applesauce,0
0,11,spices seasonings,6
0,14,frozen meat seafood,4
0,9,trail mix snack mix,0
0,1,nuts seeds dried fruit,0
0,6,trail mix snack mix,0
0,22,fresh fruits,37
0,22,frozen produce,2
0,7,prepared meals,0
0,3,laundry,0
0,15,nuts seeds dried fruit,10
0,16,tortillas flat bread,3
0,10,baking supplies decor,0
0,10,canned meat seafood,1
0,19,cat food care,0
0,19,digestion,1
0,11,diapers wipes,0
0,11,refrigerated pudding desserts,1
0,13,bakery desserts,0
0,9,asian foods,11
0,9,missing,1
0,23,trash bags liners,1
0,5,grains rice dried goods,1
0,7,canned meals beans,5
0,7,cream,3
0,20,baby bath body care,0
0,8,hot cereal pancake mixes,3
0,18,coffee,5
0,18,oils vinegars,3
0,12,oral hygiene,1
0,11,instant foods,9
0,21,baby accessories,0
0,14,soft drinks,9
0,14,soy lactosefree,12
0,0,baking supplies decor,0
0,9,muscles joints pain relief,0
0,6,missing,1
0,7,air fresheners candles,0
0,7,frozen appetizers sides,2
0,7,muscles joints pain relief,0
0,7,trail mix snack mix,0
0,2,latino foods,0
0,15,spreads,13
0,16,hot cereal pancake mixes,7
0,16,tea,9
0,17,frozen pizza,8
0,17,pickled goods olives,5
0,19,energy sports drinks,2
0,12,cocoa drink mixes,0
0,11,specialty cheeses,2
0,9,juice nectars,7
0,23,energy granola bars,4
0,22,energy sports drinks,0
0,5,cleaning products,0
0,20,instant foods,0
0,8,bulk grains rice dried goods,0
0,8,canned meat seafood,0
0,10,deodorants,0
0,19,cookies cakes,4
0,12,first aid,0
0,13,frozen dessert,1
0,13,prepared meals,6
0,21,spirits,0
0,1,packaged seafood,0
0,1,prepared meals,1
0,1,tea,2
0,6,facial care,0
0,6,tofu meat alternatives,0
0,23,cat food care,0
0,23,feminine care,0
0,23,frozen breakfast,1
0,23,muscles joints pain relief,1
0,7,butter,0
0,7,cat food care,0
0,7,white wines,0
0,2,hot dogs bacon sausage,0
0,8,facial care,0
0,8,shave needs,0
0,15,frozen juice,0
0,15,milk,20
0,0,coffee,0
0,9,crackers,6
0,6,kitchen supplies,0
0,6,specialty cheeses,0
0,23,days_since_prior_order,188
0,23,first aid,0
0,22,baking ingredients,1
0,7,body lotions soap,0
0,7,oral hygiene,0
0,20,cold flu allergy,0
0,16,fresh dips tapenades,12
0,21,chips pretzels,5
0,21,trash bags liners,1
0,21,white wines,0
0,7,diapers wipes,0
0,20,spices seasonings,3
0,8,prepared meals,1
0,15,skin care,2
0,16,latino foods,3
0,18,candy chocolate,4
0,18,packaged produce,6
0,18,pickled goods olives,2
0,13,baking supplies decor,2
0,13,energy sports drinks,2
0,21,other creams cheeses,2
0,9,tea,2
0,22,refrigerated,6
0,5,digestion,0
0,7,baby food formula,0
0,7,hot cereal pancake mixes,1
0,3,other creams cheeses,2
0,18,grains rice dried goods,1
0,17,missing,7
0,12,asian foods,5
0,12,pasta sauce,10
0,9,soap,1
0,22,eye ear care,0
0,20,tea,0
0,2,frozen breakfast,0
0,16,packaged produce,7
0,10,milk,22
0,18,meat counter,1
0,18,oral hygiene,4
0,17,baby bath body care,0
0,17,beers coolers,1
0,13,frozen vegan vegetarian,9
0,14,cat food care,0
0,0,kosher foods,0
0,9,frozen meals,4
0,1,crackers,0
0,1,muscles joints pain relief,0
0,6,cereal,0
0,6,dish detergents,0
0,22,baby bath body care,0
0,20,coffee,1
0,2,pasta sauce,0
0,3,fresh dips tapenades,0
0,15,soup broth bouillon,18
0,12,mint gum,0
0,11,energy granola bars,18
0,21,baking ingredients,0
0,9,baking ingredients,9
0,23,hot cereal pancake mixes,0
0,22,cold flu allergy,0
0,5,kitchen supplies,0
0,8,beers coolers,0
0,15,plates bowls cups flatware,0
0,15,protein meal replacements,1
0,15,trail mix snack mix,0
0,19,feminine care,0
0,19,oral hygiene,1
0,12,milk,24
0,13,fresh pasta,3
0,21,canned meat seafood,0
0,14,tofu meat alternatives,3
0,0,canned fruit applesauce,0
0,0,ice cream ice,2
0,9,baby bath body care,1
0,23,breakfast bars pastries,1
0,20,cereal,2
0,20,popcorn jerky,3
0,3,granola,0
0,16,dry pasta,14
0,16,frozen meat seafood,0
0,16,packaged cheese,34
0,19,baby accessories,0
0,13,asian foods,1
0,0,diapers wipes,0
0,0,soup broth bouillon,1
0,9,tortillas flat bread,3
0,6,bread,1
0,23,prepared meals,0
0,23,tortillas flat bread,0
0,5,baking supplies decor,0
0,5,fresh herbs,3
0,7,kosher foods,0
0,7,prepared soups salads,0
0,15,cocoa drink mixes,1
0,15,eggs,11
0,16,refrigerated pudding desserts,3
0,17,bread,17
0,19,soft drinks,8
0,11,bakery desserts,0
0,21,frozen vegan vegetarian,0
0,0,breakfast bakery,0
0,0,chips pretzels,0
0,9,other creams cheeses,6
0,9,packaged seafood,0
0,5,baby food formula,4
0,7,packaged produce,8
0,8,vitamins supplements,2
0,16,food storage,1
0,10,canned jarred vegetables,8
0,10,tofu meat alternatives,4
0,18,soup broth bouillon,2
0,19,packaged cheese,17
0,12,condiments,8
0,11,granola,2
0,13,cold flu allergy,0
0,21,beauty,1
0,21,soup broth bouillon,1
0,14,prepared meals,8
0,0,hair care,0
0,1,hair care,0
0,23,candy chocolate,2
0,5,vitamins supplements,0
0,7,pickled goods olives,0
0,20,cocoa drink mixes,0
0,20,eye ear care,0
0,8,seafood counter,0
0,16,pickled goods olives,6
0,18,packaged vegetables fruits,40
0,17,mint gum,1
0,12,grains rice dried goods,2
0,11,fresh vegetables,149
0,21,deodorants,0
0,21,packaged poultry,1
0,14,cereal,25
0,0,first aid,0
0,0,more household,0
0,1,canned meat seafood,0
0,6,breakfast bakery,0
0,6,fresh vegetables,23
0,7,chips pretzels,2
0,2,preserved dips spreads,0
0,15,soap,0
0,18,beauty,0
0,18,breakfast bars pastries,0
0,18,packaged cheese,10
0,17,ice cream ice,20
0,17,oils vinegars,4
0,21,preserved dips spreads,0
0,0,cookies cakes,0
0,1,baby food formula,0
0,23,baby bath body care,0
0,22,bulk dried fruits vegetables,1
0,8,energy granola bars,7
0,8,instant foods,1
0,8,white wines,0
0,15,packaged meat,1
0,16,frozen produce,14
0,10,shave needs,0
0,19,latino foods,1
0,19,trash bags liners,1
0,12,canned meat seafood,1
0,11,doughs gelatins bake mixes,6
0,11,seafood counter,0
0,14,dish detergents,3
0,0,pickled goods olives,0
0,1,baking ingredients,0
0,23,prepared soups salads,1
0,22,oils vinegars,2
0,5,red wines,0
0,7,deodorants,0
0,2,juice nectars,0
0,3,muscles joints pain relief,0
0,8,canned meals beans,6
0,16,breakfast bars pastries,3
0,18,feminine care,1
0,17,digestion,2
0,19,skin care,0
0,13,pickled goods olives,2
0,21,packaged cheese,8
0,21,packaged seafood,1
0,14,beers coolers,0
0,14,fresh pasta,1
0,14,frozen meals,10
0,9,frozen meat seafood,4
0,1,diapers wipes,0
0,1,hot dogs bacon sausage,0
0,1,refrigerated,2
0,5,air fresheners candles,0
0,18,breakfast bakery,5
0,18,prepared meals,6
0,12,cream,11
0,13,refrigerated pudding desserts,2
0,21,juice nectars,2
0,14,breakfast bars pastries,4
0,14,specialty wines champagnes,0
0,0,facial care,0
0,9,spices seasonings,9
0,22,fresh pasta,0
0,5,baby bath body care,0
0,7,cocoa drink mixes,0
0,7,food storage,0
0,7,ice cream ice,4
0,7,refrigerated pudding desserts,0
0,2,popcorn jerky,0
0,3,frozen vegan vegetarian,0
0,16,lunch meat,17
0,10,baby food formula,12
0,10,doughs gelatins bake mixes,5
0,17,fresh dips tapenades,8
0,19,bread,12
0,11,white wines,0
0,21,packaged meat,0
0,21,tofu meat alternatives,0
0,14,condiments,9
0,14,oral hygiene,1
0,9,fresh pasta,1
0,9,latino foods,1
0,1,prepared soups salads,0
0,22,hair care,0
0,22,red wines,0
0,22,specialty cheeses,0
0,5,tea,0
0,2,eye ear care,0
0,8,fresh dips tapenades,4
0,16,asian foods,9
0,16,fresh pasta,1
0,16,fresh vegetables,161
0,19,specialty cheeses,0
0,13,feminine care,1
0,21,bulk dried fruits vegetables,0
0,21,digestion,0
0,21,dish detergents,1
0,14,packaged cheese,27
0,9,buns rolls,3
0,6,granola,0
0,23,other creams cheeses,1
0,5,fresh vegetables,18
0,5,prepared meals,1
0,3,prepared meals,0
0,15,fresh pasta,2
0,16,eye ear care,1
0,18,baby food formula,3
0,17,frozen produce,10
0,13,soap,0
0,0,condiments,0
0,9,cereal,8
0,5,frozen vegan vegetarian,0
0,5,paper goods,0
0,20,dog food care,1
0,20,fresh vegetables,38
0,2,tortillas flat bread,0
0,3,vitamins supplements,0
0,16,kosher foods,1
0,16,trash bags liners,3
0,10,more household,1
0,18,food storage,1
0,18,frozen juice,0
0,17,paper goods,7
0,19,instant foods,4
0,12,breakfast bakery,3
0,12,fresh fruits,140
0,13,doughs gelatins bake mixes,4
0,21,yogurt,12
0,14,dog food care,0
0,5,beauty,0
0,5,canned jarred vegetables,0
0,5,fruit vegetable snacks,0
0,7,buns rolls,0
0,2,kitchen supplies,0
0,3,honeys syrups nectars,0
0,8,fresh pasta,0
0,8,hot dogs bacon sausage,7
0,15,air fresheners candles,0
0,12,preserved dips spreads,5
0,13,frozen meat seafood,0
0,21,indian foods,0
0,23,eye ear care,0
0,22,eggs,2
0,20,baking ingredients,3
0,20,paper goods,1
0,3,buns rolls,0
0,3,butter,1
0,16,soup broth bouillon,10
0,10,oral hygiene,0
0,10,soap,0
0,17,hair care,0
0,17,milk,22
0,17,oral hygiene,6
0,11,more household,2
0,13,condiments,11
0,0,energy granola bars,0
0,0,specialty cheeses,0
0,6,asian foods,1
0,6,eye ear care,0
0,6,frozen meals,2
0,7,candy chocolate,1
0,7,vitamins supplements,0
0,20,refrigerated pudding desserts,0
0,2,candy chocolate,0
0,3,plates bowls cups flatware,0
0,8,juice nectars,3
0,17,muscles joints pain relief,1
0,11,breakfast bakery,9
0,14,seafood counter,4
0,0,packaged produce,0
0,9,body lotions soap,4
0,9,digestion,0
0,1,fresh vegetables,8
0,6,paper goods,0
0,23,crackers,3
0,5,frozen breads doughs,0
0,5,ice cream toppings,0
0,7,tea,0
0,16,first aid,0
0,16,granola,3
0,16,instant foods,5
0,16,laundry,2
0,10,frozen vegan vegetarian,2
0,19,breakfast bakery,5
0,11,canned jarred vegetables,6
0,11,packaged cheese,32
0,1,spirits,0
0,6,cookies cakes,0
0,22,white wines,0
0,3,feminine care,0
0,3,paper goods,0
0,8,packaged seafood,0
0,15,kitchen supplies,2
0,15,marinades meat preparation,4
0,18,days_since_prior_order,977
0,17,baby food formula,8
0,19,canned meals beans,2
0,13,cookies cakes,5
0,13,marinades meat preparation,3
0,14,fresh vegetables,156
0,14,packaged seafood,0
0,5,preserved dips spreads,0
0,20,bulk dried fruits vegetables,0
0,2,cream,0
0,3,cleaning products,0
0,8,butter,0
0,8,packaged vegetables fruits,42
0,8,plates bowls cups flatware,0
0,8,soy lactosefree,7
0,15,mint gum,0
0,17,baking ingredients,2
0,19,frozen dessert,0
0,12,muscles joints pain relief,0
0,11,beauty,1
0,11,packaged produce,7
0,14,fresh dips tapenades,8
0,9,cookies cakes,2
0,9,skin care,0
0,5,other,0
0,3,lunch meat,0
0,15,baby bath body care,0
0,16,frozen breads doughs,1
0,16,vitamins supplements,1
0,16,water seltzer sparkling water,14
0,10,yogurt,52
0,18,refrigerated,8
0,14,mint gum,0
0,9,eye ear care,0
0,1,missing,0
0,5,packaged cheese,1
0,3,body lotions soap,0
0,8,hair care,0
0,15,packaged poultry,5
0,15,soft drinks,3
0,16,juice nectars,10
0,18,cold flu allergy,0
0,18,cookies cakes,3
0,18,facial care,0
0,17,fruit vegetable snacks,1
0,19,yogurt,21
0,13,plates bowls cups flatware,1
0,1,chips pretzels,0
0,1,packaged meat,0
0,6,baby bath body care,0
0,6,soap,0
0,23,doughs gelatins bake mixes,0
0,23,oral hygiene,0
0,7,meat counter,1
0,20,vitamins supplements,0
0,2,lunch meat,0
0,16,frozen pizza,4
0,19,oils vinegars,3
0,12,beers coolers,0
0,12,canned fruit applesauce,0
0,12,spreads,11
0,14,red wines,0
0,1,buns rolls,0
0,6,candy chocolate,1
0,6,laundry,1
0,6,packaged poultry,0
0,22,canned meals beans,1
0,22,frozen pizza,0
0,5,canned fruit applesauce,0
0,5,oral hygiene,0
0,20,refrigerated,4
0,2,muscles joints pain relief,0
0,3,seafood counter,0
0,15,frozen vegan vegetarian,8
0,10,skin care,0
0,10,tortillas flat bread,3
0,10,water seltzer sparkling water,27
0,18,canned meat seafood,0
0,17,packaged cheese,22
0,19,canned meat seafood,1
0,13,frozen meals,9
0,14,lunch meat,13
0,14,other,3
0,0,fresh vegetables,4
0,0,prepared meals,0
0,1,lunch meat,1
0,6,first aid,0
0,23,dish detergents,0
0,23,kitchen supplies,0
0,22,kitchen supplies,1
0,5,breakfast bars pastries,0
0,7,breakfast bars pastries,0
0,7,indian foods,0
0,2,refrigerated,1
0,3,days_since_prior_order,12
0,3,kitchen supplies,0
0,15,coffee,6
0,16,bulk dried fruits vegetables,1
0,16,feminine care,0
0,19,eye ear care,1
0,19,pasta sauce,6
0,12,coffee,13
0,12,frozen pizza,12
0,11,frozen appetizers sides,12
0,11,oral hygiene,3
0,13,tortillas flat bread,9
0,21,cold flu allergy,0
0,21,instant foods,5
0,14,canned fruit applesauce,3
0,23,salad dressing toppings,0
0,23,trail mix snack mix,0
0,22,canned jarred vegetables,3
0,7,water seltzer sparkling water,2
0,2,bakery desserts,0
0,8,prepared soups salads,0
0,16,breakfast bakery,10
0,10,kitchen supplies,0
0,17,packaged produce,4
0,17,yogurt,35
0,19,frozen produce,5
0,12,kosher foods,1
0,11,honeys syrups nectars,3
0,13,fruit vegetable snacks,2
0,0,air fresheners candles,0
0,0,frozen dessert,1
0,0,red wines,0
0,1,protein meal replacements,0
0,23,diapers wipes,0
0,22,spreads,2
0,5,canned meals beans,0
0,5,meat counter,0
0,5,packaged produce,0
0,20,skin care,0
0,16,diapers wipes,1
0,17,pasta sauce,10
0,21,cat food care,0
0,14,honeys syrups nectars,0
0,14,oils vinegars,6
0,14,salad dressing toppings,5
0,1,frozen appetizers sides,0
0,6,seafood counter,0
0,7,nuts seeds dried fruit,4
0,2,eggs,1
0,8,fresh vegetables,47
0,16,cleaning products,7
0,10,air fresheners candles,0
0,17,bulk dried fruits vegetables,0
0,17,seafood counter,2
0,19,frozen breads doughs,1
0,12,chips pretzels,24
0,12,instant foods,8
0,12,shave needs,1
0,21,kosher foods,0
0,21,popcorn jerky,1
0,0,specialty wines champagnes,0
0,6,prepared meals,0
0,5,cookies cakes,0
0,5,milk,1
0,8,red wines,0
0,15,cream,11
0,16,other creams cheeses,11
0,18,other creams cheeses,6
0,17,soy lactosefree,13
0,12,packaged produce,2
0,11,spreads,11
0,13,frozen appetizers sides,15
0,9,spreads,5
0,22,frozen juice,0
0,22,mint gum,0
0,7,baby bath body care,0
0,8,buns rolls,3
0,8,cocoa drink mixes,0
0,15,beers coolers,0
0,16,packaged vegetables fruits,70
0,18,baking supplies decor,0
0,18,chips pretzels,8
0,18,dog food care,1
0,18,granola,2
0,19,crackers,8
0,11,days_since_prior_order,1574
0,11,breakfast bars pastries,3
0,11,latino foods,4
0,11,other creams cheeses,12
0,21,cleaning products,0
0,21,latino foods,0
0,14,baking supplies decor,1
0,1,beers coolers,0
0,6,canned meals beans,1
0,6,oral hygiene,1
0,23,frozen pizza,0
0,22,dry pasta,1
0,5,spices seasonings,1
0,5,trail mix snack mix,0
0,20,pasta sauce,2
0,20,soup broth bouillon,3
0,3,energy granola bars,0
0,3,oral hygiene,0
0,15,dog food care,1
0,16,salad dressing toppings,1
0,10,preserved dips spreads,3
0,18,fruit vegetable snacks,2
0,19,buns rolls,3
0,11,eggs,22
0,11,frozen dessert,0
0,1,frozen vegan vegetarian,0
0,1,white wines,0
0,6,spreads,0
0,22,coffee,3
0,22,spices seasonings,1
0,5,canned meat seafood,0
0,20,nuts seeds dried fruit,0
0,20,packaged vegetables fruits,17
0,2,frozen dessert,0
0,3,energy sports drinks,0
0,15,asian foods,9
0,10,cat food care,1
0,18,other,0
0,19,mint gum,0
0,12,frozen appetizers sides,3
0,12,packaged seafood,0
0,13,fresh dips tapenades,12
0,13,frozen breads doughs,0
0,21,energy granola bars,4
0,21,tortillas flat bread,1
0,0,beauty,0
0,0,canned meals beans,1
0,9,bulk dried fruits vegetables,0
0,6,instant foods,1
0,23,juice nectars,2
0,20,pickled goods olives,0
0,20,white wines,0
0,2,chips pretzels,0
0,8,frozen vegan vegetarian,1
0,15,energy granola bars,18
0,15,yogurt,34
0,17,diapers wipes,1
0,19,fresh vegetables,48
0,19,other,0
0,12,canned jarred vegetables,11
0,11,tofu meat alternatives,10
0,11,tortillas flat bread,6
0,11,yogurt,54
0,0,dish detergents,0
0,6,preserved dips spreads,0
0,6,salad dressing toppings,0
0,22,crackers,1
0,22,dog food care,0
0,22,packaged poultry,0
0,3,fruit vegetable snacks,0
0,15,fresh vegetables,140
0,19,packaged seafood,0
0,11,milk,26
0,21,pickled goods olives,2
0,14,frozen appetizers sides,8
0,0,days_since_prior_order,73
0,6,crackers,1
0,22,popcorn jerky,0
0,3,canned fruit applesauce,0
0,8,frozen dessert,0
0,8,fruit vegetable snacks,6
0,15,cat food care,0
0,18,fresh vegetables,63
0,12,doughs gelatins bake mixes,2
0,13,canned meals beans,16
0,13,fresh fruits,109
0,13,kitchen supplies,0
0,21,buns rolls,1
0,22,facial care,0
0,22,specialty wines champagnes,0
0,5,crackers,0
0,5,honeys syrups nectars,0
0,5,laundry,0
0,7,facial care,0
0,7,soft drinks,4
0,3,beers coolers,0
0,3,mint gum,0
0,8,oils vinegars,4
0,8,tea,4
0,15,eye ear care,0
0,10,dish detergents,4
0,10,refrigerated,20
0,18,popcorn jerky,2
0,17,plates bowls cups flatware,0
0,19,ice cream toppings,0
0,12,bulk grains rice dried goods,1
0,12,seafood counter,1
0,14,more household,1
0,0,packaged vegetables fruits,6
0,20,fresh herbs,2
0,2,fresh dips tapenades,0
0,8,canned fruit applesauce,2
0,8,honeys syrups nectars,2
0,16,frozen vegan vegetarian,3
0,16,popcorn jerky,9
0,18,hair care,1
0,17,cold flu allergy,0
0,17,energy sports drinks,3
0,19,indian foods,1
0,12,frozen dessert,0
0,12,honeys syrups nectars,3
0,11,pasta sauce,11
0,13,deodorants,1
0,6,dog food care,0
0,22,butter,1
0,7,grains rice dried goods,0
0,20,protein meal replacements,1
0,2,canned meals beans,1
0,2,other creams cheeses,0
0,8,dish detergents,0
0,8,water seltzer sparkling water,11
0,15,cookies cakes,5
0,10,other,0
0,10,spreads,7
0,18,kitchen supplies,0
0,19,frozen pizza,4
0,12,days_since_prior_order,1776
0,12,granola,1
0,12,more household,0
0,21,candy chocolate,2
0,14,protein meal replacements,2
0,0,marinades meat preparation,0
0,0,packaged cheese,3
0,6,canned fruit applesauce,0
0,23,energy sports drinks,2
0,23,meat counter,2
0,23,white wines,0
0,20,canned meals beans,2
0,20,cookies cakes,2
0,3,baking supplies decor,0
0,17,chips pretzels,5
0,11,kosher foods,0
0,21,breakfast bakery,2
0,9,fruit vegetable snacks,4
0,1,red wines,0
0,6,marinades meat preparation,0
0,22,beauty,0
0,5,buns rolls,1
0,5,chips pretzels,0
0,20,body lotions soap,0
0,2,deodorants,0
0,2,oils vinegars,0
0,3,skin care,0
0,8,bread,8
0,8,energy sports drinks,2
0,8,paper goods,6
0,16,hot dogs bacon sausage,8
0,16,tofu meat alternatives,6
0,10,beauty,0
0,18,pasta sauce,6
0,18,trail mix snack mix,0
0,11,feminine care,1
0,13,hot dogs bacon sausage,8
0,9,candy chocolate,0
0,9,fresh vegetables,86
0,9,marinades meat preparation,0
0,9,prepared meals,4
0,1,kitchen supplies,0
0,2,air fresheners candles,0
